OBJECTID,Direction,RouteNum,RouteName,Miles,Orientation,BaseFreq1,PeakFreq1,NightFreq1,BaseFreq6,NightFreq6,BaseFreq7,NightFreq7,Span1,Span6,Span7,RunPick,OperationDays,Description,LocalService,Shape__Length
1,Westbound,11,Clairmount,15.0289122382288,East-West,60,60,0,0,0,0,0,5:00a - 8:45p,No Service,No Service,April 2022,Monday - Friday,"Crosstown route serving SW, New Center, and Eastside",1,0.262120448814389
2,Eastbound,11,Clairmount,15.0167496746934,East-West,60,60,0,0,0,0,0,5:00a - 8:45p,No Service,No Service,April 2022,Monday - Friday,"Crosstown route serving SW, New Center, and Eastside",1,0.261440834493061
3,Eastbound,47,Tireman,11.845151253738,East-West,50,50,0,0,0,0,0,5:10a to 8:04p,No Service,No Service,April 2022,Monday - Friday,Westside route serving Tireman and MLK Blvd,1,0.219561244332615
4,Westbound,47,Tireman,11.6724351556265,East-West,50,50,0,0,0,0,0,5:10a to 8:04p,No Service,No Service,April 2022,Monday - Friday,Westside route serving Tireman and MLK Blvd,1,0.216818108691382
5,Westbound,1,Vernor,8.54046791592766,East - West,60,30,60,30,60,60,60,4:00a - 1:00a,4:00a - 12:50a,4:00a - 12:40a,April 2022,Monday - Sunday,"Frequent 24/7 service as part of the ConnectTen network. Connects Detroit & Dearborn between downtown and Schaefer & Michigan. The main streets served are Lafayette, Trumbull, Bagley, Vernor, Wyoming & Michigan.",1,0.151957407003966
6,Eastbound,1,Vernor,8.56946798382209,East - West,60,30,60,30,60,60,60,4:00a - 1:00a,4:00a - 12:50a,4:00a - 12:40a,April 2022,Monday - Sunday,"Frequent 24/7 service as part of the ConnectTen network. Connects Detroit & Dearborn between downtown and Schaefer & Michigan. The main streets served are Lafayette, Trumbull, Bagley, Vernor, Wyoming & Michigan.",1,0.152496938548872
7,Westbound,2,Michigan,10.5967021419159,East - West,30,30,60,60,60,60,60,4:00a - 12:20a,4:00a - 12:20a,4:20a - 12:50a,April 2022,Monday - Sunday,Frequent 24/7 service as part of the ConnectTen network. Westside route that connects Detroit from Downtown Rosa Parks Transit Center to Fairlane Mall. The main street used is Michigan.,1,0.200490290270516
8,Eastbound,2,Michigan,10.5336993467501,East - West,30,30,60,60,60,60,60,4:00a - 12:20a,4:00a - 12:20a,4:20a - 12:50a,April 2022,Monday - Sunday,Frequent 24/7 service as part of the ConnectTen network. Westside route that connects Detroit from Downtown Rosa Parks Transit Center to Fairlane Mall. The main street used is Michigan.,1,0.199017392615987
9,Southbound,3,Grand River,14.6314567162015,East - West,20,20,30,30,30,45,45,24hr,24hr,24hr,April 2022,Monday - Sunday,Frequent 24/7 service as part of the ConnectTen network. Westside route that connects Detroit from downtown to 7 Mile & Grand River. The main street served is Grand River.,1,0.269291987849227
10,Northbound,3,Grand River,14.8788805837341,East - West,20,20,30,30,30,45,45,24hr,24hr,24hr,April 2022,Monday - Sunday,Frequent 24/7 service as part of the ConnectTen network. Westside route that connects Detroit from downtown to 7 Mile & Grand River. The main street served is Grand River.,1,0.27362872252647
11,Southbound,4,Woodward,8.84715239715745,North - South,20,20,30,20,30,20,30,24hr,24hr,24hr,April 2022,Monday - Sunday,"Frequent 24/7 service as part of the ConnectTen network. Connects Detroit and Highland Park between State Fairgrounds Transit Center and Renaissance Center in Downtown Detroit. The main streets served are Woodward, Park, Washington Blvd and Larned.",1,0.138934474821629
12,Northbound,4,Woodward,8.83578434663878,North - South,20,20,30,20,30,20,30,24hr,24hr,24hr,April 2022,Monday - Sunday,"Frequent 24/7 service as part of the ConnectTen network. Connects Detroit and Highland Park between State Fairgrounds Transit Center and Renaissance Center in Downtown Detroit. The main streets served are Woodward, Park, Washington Blvd and Larned.",1,0.138911590108234
13,Southbound,5,Van Dyke-Lafayette,11.4301384253746,North - South,60,30,60,30,60,60,60,24hr,24hr,24hr,April 2022,Monday - Sunday,Frequent 24/7 service as part of the ConnectTen network. Eastside route that connects Detroit form Bel Air Center to Downtown Rosa Parks Transit Center. The main streets served are Van Dyke and E Lafayette.,1,0.185909614662647
14,Northbound,5,Van Dyke-Lafayette,11.2548746882712,North - South,60,30,60,30,60,60,60,24hr,24hr,24hr,April 2022,Monday - Sunday,Frequent 24/7 service as part of the ConnectTen network. Eastside route that connects Detroit form Bel Air Center to Downtown Rosa Parks Transit Center. The main streets served are Van Dyke and E Lafayette.,1,0.181736229726774
15,Eastbound,6,Gratiot,10.4427820242567,North - South,20,20,30,30,30,30,30,24hr,24hr,24hr,April 2022,Monday - Sunday,Frequent 24/7 service as part of the ConnectTen network. Eastside route that connects Detroit from 3rd & Michigan to Gratiot & 8 Mile. The main street served is Gratiot.,1,0.166355593732777
16,Westbound,6,Gratiot,10.6266604767433,North - South,20,20,30,30,30,30,30,24hr,24hr,24hr,April 2022,Monday - Sunday,Frequent 24/7 service as part of the ConnectTen network. Eastside route that connects Detroit from 3rd & Michigan to Gratiot & 8 Mile. The main street served is Gratiot.,1,0.168918123161625
